City,Lat,Lon
Tokyo (Japan),35.6762,139.6503
New Delhi (India),28.6139,77.2090
Shanghai (China),31.2304,121.4737
Sao Paulo (Brazil),-23.5505,-46.6333
Mexico City (Mexico),19.4326,-99.1332
Cairo (Egypt),30.0444,31.2357
Dhaka (Bangladesh),23.8103,90.4125
Mumbai (India),19.0760,72.8777
Beijing (China),39.9042,116.4074
Osaka (Japan),34.6937,135.5023
Karachi (Pakistan),24.8607,67.0011
Chongqing (China),29.4316,106.9123
Istanbul (Turkey),41.0082,28.9784
Buenos Aires (Argentina),-34.6037,-58.3816
Kolkata (India),22.5726,88.3639
Lagos (Nigeria),6.5244,3.3792
Kinshasa (DR Congo),-4.4419,15.2663
Manila (Philippines),14.5995,120.9842
Tianjin (China),39.3434,117.3616
Rio de Janeiro (Brazil),-22.9068,-43.1729
Guangzhou (China),23.1291,113.2644
Lahore (Pakistan),31.5204,74.3587
Moscow (Russia),55.7558,37.6173
Shenzhen (China),22.5431,114.0579
Bangalore (India),12.9716,77.5946
Paris (France),48.8566,2.3522
Bogota (Colombia),4.7110,-74.0721
Jakarta (Indonesia),-6.2088,106.8456
Chennai (India),13.0827,80.2707
Lima (Peru),-12.0464,-77.0428
London (UK),51.5074,-0.1278
New York (USA),40.7128,-74.0060
Bangkok (Thailand),13.7563,100.5018
Seoul (South Korea),37.5665,126.9780
Tehran (Iran),35.6892,51.3890
Ho Chi Minh City (Vietnam),10.8231,106.6297
Chengdu (China),30.5728,104.0668
Nanjing (China),32.0603,118.7969
Wuhan (China),30.5928,114.3055
Luanda (Angola),-8.8390,13.2894
Ahmedabad (India),23.0225,72.5714
Kuala Lumpur (Malaysia),3.1390,101.6869
Hong Kong,22.3193,114.1694
Dongguan (China),23.0208,113.7518
Riyadh (Saudi Arabia),24.7136,46.6753
Baghdad (Iraq),33.3152,44.3661
Santiago (Chile),-33.4489,-70.6693
Madrid (Spain),40.4168,-3.7038
Toronto (Canada),43.6510,-79.3470
Sydney (Australia),-33.8688,151.2093